Michael van Gerwen
Gary Anderson
Mark Webster
Gerwyn Price
Simon Whitlock
Max Hopp
Rowby-John Rodriguez
Sascha Stein
Mensur Suljovic
Steve Beaton
Paul Nicholson
Raymond van Barneveld
James Wade
Boris Koltsov
Daryl Gurney
Robert Thornton
Benito van de Pas
Vincent van der Voort
Jamie Lewis
Phil Taylor
John Weber
Christian Perez
Justin Pipe
Ronny Huybrechts
Brendan Dolan
Adrian Lewis
Dan Olsen
Nolan Arendse
Dave Chisnall
Cristo Reyes
Keegan Brown
Devon Peterson
